description|labelGeneric
Aux gardes.|toward
À Soliman.|toward
Regardant sa mère.|action
Elle fait un pas vers son fils.|movement
Les Gardes se retirent avec Artaban et Armetzar.|exit
Ces deux vers bas.|delivery
Il s'en va.|movement
À soi-même.|toward
À Artaban.|toward
La princesse continue, après que la confidente a lu.|delivery
En cet endroit le bruit d'un mousquet, d'un tambour et d'une trompette se fait entendre.|narration
Il parle à un des gardes qui se trouve là proche.|toward
Au lever du rideau, Gontran est couché tout habillé sur le lit. Dix heures sonnent.|setting
Il se frotte les yeux.|interaction
(1) Au besoin un salon ou un cabinet de travail.|setting
(2) Au besoin : un canapé.|setting
Sautant du lit.|action
S'apercevant qu'il est habillé.|object
Pendant ce temps, il retire son hahit, son gilet, sa cravate, et se dispose à faire sa toilette.|object
Il s'appuie sur le guéridon.|action
Montrant son lit.|action
Chantonnant.|delivery
Riant.|delivery
Se mettant de la poudre de riz sur le visage.|action
Onze heures sonnent.|action
Il tire le cordon de la sonnette.|action
Il sonne.|action
Il ramasse la boucle de cheveux qui est à terre.|object
Il rit.|delivery
S'adressant à la mèche qu'il tient dans la main.|toward
La demie sonne.|delivery
Apercevant une tasse et une théière sur la cheminée.|action
Il montre ses yeux pochés.|action
Montrant ses yeux.|action
Baptiste le prend dans un placard.|object
Il ouvre ses tiroirs, en tire des objets de toilette qu'il jette à Baptiste.|action
Lui donnant de l'argent.|object
Midi sonne.|action
Il s'asied.|action
Il s'assied.|action
Se reprenant.|delivery
Il s'assied.|action
Il s'assied.|action
Il s'assied.|action
Il se lève et cherche sur la scène.|action
Avisant une bûche.|action
Il prend une bûche.|object
Revenant poser la bûche sur la table.|object
Continuant.|delivery
Allant chercher sur la scène.|action
Se frappant la front.|aggression
S'adressant au public.|toward
On lui passe un chapeau.|object
Se reprenant.|delivery
Il retourne à la table.|movement
Montrant le chapeau.|action
Il couvre la bûche avec le chapeau.|object
Allant chercher sur la scène.|action
Prenant le presse-papier qui est sur le bureau.|object
Il va à la table. Continuant.|setting
Il pose le presse-papier au milieu de la table.|object
Il approche le presse-papier du chapeau.|movement
Il prend une lettre dans sa poche et va la poser sur la bûche.|object
Il prend la bûche et fait dans l'air des gestes menaçants, il pose au milieu de la table.|object
Il couvre le presse-papier avec le chapeau.|object
Il saisit la bûche et s'approche du chapeau.|object
Satisfait de lui.|delivery
Il remonte derrière la table.|setting
Il sort précipitamment.|exit
Laforêt entre.|exit
Haut.|delivery
Molière disparaît.|exit
À part.|aparte
Haut.|delivery
À part.|aparte
Haut.|delivery
À part.|aparte
Il sort.|exit
À part.|aparte
Haut.|delivery
Molière et Laforêt sortent.|exit
Molière parait.|entrance
Les acteurs se placent dans l'ordre du tableau de Monsieur Mon**au.|setting
Se plaçant derrière Molière.|setting
Saint-Alban parait.|entrance
Le Serpent et la Lime.|music
Il lit.|action
À Ninon.|toward
Nota. Dans la scène XIII, les deux Seigneurs qui ont paru dans les premières scènes, entrent avec le Prince de Condé.|entrance
Air : De la Boulangère.|music
Air : Du petit Matelot.|music
DEUXIÈME COUPLET.|music
Même Air.|music
Air : Nous nous marierons dimanche.|music
Le second Colporteur sort.|exit
Air : Du pas redoublé.|music
Il sort.|exit
Air : Soit agréable, soit utile.|music
Air : Décacheter sur ma porte.|music
Air : De Joconde.|music
Air : De la Soirée orageuse.|music
Il rentre.|exit
Air : De la Baronne.|music
À Delphine.|toward
Air : Le Port-Mahon.|music
Il va ouvrir.|action
Air : De la Croisée.|music
Elle rentre.|exit
Il rentre.|exit
Air : Jardinier, ne vois-tu pas.|music
Air : Vaud[e]v[ille] d'Abuzar.|music
Air : L'acte de générosité (de la petite Métromanie.)|music
À La Ronde :|toward
À part.|aparte
Les trois autres répètent vers par vers.|delivery
Arlequin et Delphine se retirent.|exit
Il sort.|exit
Air : Le coeur de mon Annette.|music
Air : Accompagné de plusieurs autres.|music
Air : Du Vaudeville des deux Veuves.|music
Air : De la pipe de tabac.|music
À part.|aparte
Air : La rigueur, le ton sévère.|music
Il sort.|exit
Il rentre.|exit
Il sort par le fond.|exit
Air : Si vous pouviez lui faire quelque pièce.|music
Les trois sortent.|exit
Air : Courons de la brune à la blonde.|music
Air : Cet arbre arrivé de Provence.|music
Air : Mon père.|music
Air : De l'Afficheur.|music
Il déchire.|object
Air : De l'Isle des femmes.|music
Air : J'ai vu partout dans mes voyages.|music
Air : Fillette, Fillette.|music
Air : Savez-vous l'astrologie ?|music
Il sort.|exit
À part.|aparte
À part.|aparte
Air : Enivré du brillant poste.|music
Air : Nous sommes précepteurs d'amour.|music
Air : De la gamme.|music
Il pose le pot-à-l'eau.|object
Ils se mettent à table.|action
Il débouche une bouteille.|action
Il lit.|action
Ils sortent.|exit
À Taxe.|toward
À Barbe.|toward
Haut.|delivery
Les deux femmes sortent.|exit
Il lui donne six francs.|object
À part.|aparte
Haut.|movement
Taxe et Finot reculent.|movement
Revenant.|movement
Il sort.|exit
À Taxe.|toward
Il appelle.|delivery
Finot sort.|exit
Elle lit.|action
Air : De la Soirée orageuse.|music
À Double-Sens.|toward
À sa fille.|toward
À part.|aparte
À la Reine-Mère.|toward
Montrant sa blessure.|action
Le duc de Guise et tous les autres courtisans mettent un genou en terre, en croisant leurs épées. Ils restent dans cette position pendant le discours du cardinal de Lorraine.|action
Il sort.|exit
Le théâtre représente le salon de l'appartement de Monsieur et Madame Gercour.|setting
Haut.|delivery
Elle sort.|exit
Bas.|delivery
À part.|aparte
Bas.|delivery
Haut.|delivery
Marton sort.|exit
Lui prenant la main.|interaction
Il appelle.|delivery
Marton paraît.|entrance
Elle sort.|exit
Haut.|delivery
À part.|aparte
Haut.|delivery
Il lui prend la main.|interaction
À mi-voix.|delivery
À part.|aparte
Haut.|delivery
La scène représente l'appartement de Florville, aussi dénué que celui de Béverley, avec de vieux tableaux.|setting
Marton rit.|delivery
Regardant autour de lui.|action
À Sudmer.|toward
On entend du bruit en dehors.|narration
Elle sort.|exit
Il montre un autre tableau.|action
Haut.|delivery
Haut.|delivery
Tirant un billet.|object
À part.|aparte
Il sort.|exit
Il sort.|exit
L'apercevant.|action
Le théâtre représente un cabinet d'étude.|setting
Il aperçoit Madame Gercour;|action
Il se jette à genoux.|action
Haut.|delivery
Haut.|delivery
À part.|aparte
Il les lui remet.|object
Lui indiquant l'autre contrat.|action
Il entre.|entrance
Entrouvrant la porte du cabinet.|action
Haut.|delivery
Haut.|delivery
À Gercour.|toward
À part.|aparte
Haut.|delivery
À part.|aparte
Haut.|delivery
À Valsain.|toward
Le même Salon qu'au premier Acte.|setting
Il rit.|delivery
Haut.|delivery
Le reconduisant.|interaction
Haut.|delivery
Seul.|aparte
Haut.|delivery
Il appelle.|delivery
Tous deux le poursuivent dehors.|movement
À Valsain.|toward
Il les tient prêt à les déchirer.|object
Valsain sort.|exit
À part.|aparte
Montrant son coeur.|action
Valsain sort.|exit
Montrant Florville.|action
Se rapprochant de Julie.|movement
À Gercour.|toward
Les gens des loges arrivent.|entrance
Après qu'ils sont tous sortis.|exit
À Climène.|toward
À Climène.|toward
Seul.|aparte
CHANSON|music
LETTRE DE TERSANDRE À CLIMÈNE.|music
Haut.|delivery
Haut.|delivery
À Calotin.|toward
À Béatrix.|toward
À Béatrix.|toward
Guillot entre.|entrance
Ils sortent et Guillot demeure seul.|exit
Il tire sa bourse.|object
Ils s'en vont.|movement
Ils se retirent en un coin du Théâtre.|movement
Ils entrent chez eux.|exit
Lui montrant le billet.|action
Il lit.|action
Il lit.|action
[Il interrompt la lecture. ]|delivery
Il échange de côté.|setting
Il lui donne sa bague.|object
Il sort.|exit
À part.|aparte
Il sort.|exit
Il appelle ses compagnons.|delivery
Les trois autres filous viennent en robe noire, un bonnet blanc en forme de pain de sucre, et une bougie à la main, criant tous à la fois en tournant autour de Guillot, Virago, Macaé, Abdénago, et après avoir fait trois tours autour de lui, ils sortent et le laissent là, lequel demeure fort surpris.|narration
Il lui tâte le pouls.|interaction
LA ROCQUE, continue.|delivery
Le Chevalier de l'Industrie s'enfuit.|exit
Guillot fait semblant de s'en aller.|exit
Fabrice sort.|exit
Il boit.|action
Il boit.|action
Il boit.|action
Ils rentrent.|exit
Parlant à Fabrice et à Guillot.|toward
À Guillot.|toward
Chanson.|music
Les Galants ridicules s'enfuyant disent :|exit
Clarice, Lisette et Béatrix sortent.|exit
Il fouille en sa poche.|action
Cléonte et Croquet restent dans une allée du Théâtre et Albert met Isabelle dehors, et enferme Clarice.|narration
Elle sort.|exit
Il prend Albert.|exit
Clémence sortant de chez elle une chandelle à la main.|exit
Il sort.|exit
Il dit ceci à Sicandre :|toward
Ils sortent de la maison d'Atalante.|entrance
Il dit ceci bas.|delivery
Elle lit ceci sur une feuille de papier.|action
SUR LE MIROIR D'ATALANTE. SONNET.|music
Elle parle à Sicandre.|toward
Sicandre dit ceci bas.|delivery
Il dit ceci bas.|delivery
Ils se veulent battre.|aggression
Il s'en va.|exit
Mainalte sort.|exit
Flaminie le quitte.|exit
Il dit ceci bas.|delivery
On tire la toile pour cacher la chambre.|setting
Elle dit ceci bas.|delivery
Elle lève la tapisserie, qui fait voir la chambre.|setting
Il dit ce vers bas.|delivery
LETTRE.|music
LETTRE.|music
LETTRE.|music
STANCES.|music
LA VOLIÈRE.|music
LE COURS.|music
Philène va à l'Écho.|movement
Second Couplet.|music
Troisième Couplet.|music
Philène dit ceci à demi haut à l'oreille d'Orphise ; et sont tous deux fort loin de Mégate, et de Mélinde.|delivery
Philène à l'arbre.|toward
Mégate à l'arbre.|toward
Il parle à Aglante, et à Cléonice.|toward
Il faut que Cléonice soit relevée de terre en disant ces vers.|action
À Valentin.|toward
Valentin s'approche.|movement
À part.|aparte
À part.|aparte
Haut.|delivery
Il est correctement vêtu, à la dernière mode, sans affectation.|object
Au Comte.|toward
Le comte se met à rire.|delivery
À part.|aparte
Il prend le livre.|object
Il montre du regard la porte de droite qui mène aux appartements de la comtesse.|action
Il tend la main pour prendre la main de la comtesse.|interaction
Regardant sa montre.|action
Elle regarde autour d'elle avec une confusion éperdue.|action
Valentin pousse un cri.|delivery
On entend la voix du Comte appelant Valentin.|delivery
Répondant.|delivery
Appelant.|delivery
Il sonne.|action
Les Gardes sortent.|exit
Elle s'en va.|exit
Bacazar se jette aux genoux, de Leuxis.|action
Aux Gardes.|toward
À la Princesse.|toward
À Leuxis.|toward
Aux Gardes.|toward
À Astarbé.|toward
À Zopire et à Arsace.|toward
Au peuple.|toward
Poussant l'abbé.|interaction
Apercevant Mademoiselle Damour.|action
Mademoiselle Damour sort.|exit
Regardent sa montre.|action
Ils sortent.|exit
Il veut l'embrasser.|interaction
Mademoiselle Damour et Lafleur se retirent.|exit
Elle tire la sonnette.|action
Lafleur se retire.|exit
À l'abbé.|toward
Elle sort.|exit
Lafleur se retire.|exit
Il sort.|exit
Lafleur sort.|exit
Il baise sa main.|interaction
À part.|aparte
Il sort.|exit
En riant.|delivery
Elle lui passe la main sous le menton.|interaction
Elle passe sa main sur la gorge de la marquise.|interaction
À part.|aparte
Haut.|delivery
Elle sort.|exit
Il sort.|exit
Ils se retirent dans le boudoir.|exit
Il se retire.|exit
Milord s'en va.|exit
Lafleur se retire.|exit
Achevant de lire.|action
À part.|aparte
1.|music
2.|music
3.|music
4.|music
5.|music
6.|music
Le roi sort.|exit
Il sort.|exit
Elle sort.|exit
Alvarès est mené chez la Reine par deux dames d'honneur qui paraissent et entre les mains desquelles Alcimadure le remet.|interaction
Alfonse et Alvares, tous deux derrière le théâtre où se passe l'action.|setting
L'apercevant.|action
S'adressant à Amatrox.|toward
D'un ton familier.|delivery
Il se met à genoux devant Ali.|action
En fureur.|delivery
Air : Des folies d'Espagne.|music
Air : Dans le fleuve d'oubli, biribi, je veux boire.|music
Air : Des Fraises.|music
Air : Vous avez raison, la Plante.|music
Air : Margot, sur la brune.|music
Fin de l'Air : des Voyelles anciennes.|music
Air : Le Cabaret est mon réduit.|music
Même air.|music
Ils donnent des coups de bâton à la Crainte et la mettent en fuite.|aggression
Air : Lampons, lampons ; Camarades, Lampons.|music
bis.|music
bis.|music
Air : Le Cabaret est mon réduit.|music
Se retournant vers les Spectateurs.|toward
Air : Margot, sur la brune.|music
Elle montre les spectateurs.|action
Air : C'est au pays de Cocagne.|music
Air : Catalinette.|music
Air : Le joli, belle Meunière, le joli Moulin.|music
Refrain.|music
Le Théâtre représente les Jardins et l'extérieur du Palais de l'Île Sonnante.|setting
Il paraît ici un habitant.|entrance
ARIETTE.|music
ARIETTE.|music
ARIETTE.|music
Sur l'air : Ah ! que la forêt de Cythère.|music
ARIETTE.|music
ARIETTE.|music
QUATUOR.|music
Le Théâtre représente le vestibule du sérail.|setting
Sur l'air : Laire-là, laire, lanlere.|music
À part.|aparte
Air : De l'Allemande Suisse.|music
Air : Des Pendus.|music
DUO DIALOGUÉ.|music
ARIETTE.|music
ARIETTE.|music
ARIETTE.|music
DUO DIALOGUÉ.|music
TRIO.|music
À Durbin.|toward
ARIETTE.|music
Le Théâtre représente une façade du Palais, et un Port de mer dans le fond.|setting
ARIETTE.|music
ARIETTE.|music
ARIETTE.|music
Sur l'Air : Quand on a bu, la tête tourne.|music
Méme air.|music
ARIETTE.|music
DUO DIALOGUÉ.|music
ARIETTE.|music
Presto les emmène prisonniers.|exit
ARIETTE.|music
QUATUOR.|music
TRIO.|music
Air : Princesse adorable.|music
ARIETTE.|music
Elle lit.|action
Elle se lève.|action
À part.|aparte
Elle appelle.|delivery
Frappant du pied.|delivery
Montrant son front.|action
À part.|aparte
Haut.|delivery
Haut.|delivery
À part.|aparte
Haut.|delivery
À part.|aparte
Elle se met à la table à écrire.|action
Il voit Sophie.|action
À part.|aparte
Riant.|delivery
À part.|aparte
Haut.|delivery
Haut.|delivery
Elle lit.|action
Le Laquais sort.|exit
Haut.|delivery
Lisette entre.|entrance
Elle sort.|exit
Haut.|delivery
Elle sort.|exit
À Sophie.|toward
Derville entre.|entrance
On entend derrière le théâtre des décharges d'artillerie.|narration
Thècla parait avec sa suite au fond du théâtre.|movement
Gallas et Géraldin sortent.|exit
À Élise.|toward
La suite de Thécla sort.|exit
Après un silence.|delivery
Illo sort.|exit
À Alfred.|toward
À Alfred et à Thécla.|toward
Les généraux se rangent autour de Wallstein, un peu en arrière. Géraldin s'avance vers Wallstein, sur le devant du théâtre.|setting
À Géraldin.|toward
Aux généraux.|toward
À Géraldin.|toward
Il se fait un grand mouvement parmi les généraux, pendant que Wallstein parle. Ils regardent Géraldin d'un air menaçant.|setting
À Géraldin.|toward
Aux généraux.|toward
À Wallstein.|toward
À Géraldin.|toward
À Illo.|toward
Wallstein et Illo se retirent par des côtés différents.|movement
Il sort.|exit
A Tersky, d'un ton sévère.|toward
Wallstein sort.|exit
Tersky sort.|exit
Gallas sort.|exit
Isolan s'approchede Géraldin et recule en apercevant Buttler. Buttler, en voyant Isolan, veut s'éloigner.|movement
À Isolan.|toward
À tous deux.|toward
À Isolan.|toward
À Buttler et à Isolan.|toward
À Géraldin.|toward
À Buttler.|toward
À Géraldin.|toward
Buttler, Isolan et Géraldin sortent.|exit
À Tersky.|toward
Illo et Tersky sortent.|exit
Wallstein sort.|exit
Il lui présente un papier.|action
Thécla paraît au fond du théâtre avec Élise.|entrance
Alfred sort.|exit
Après un silence.|delivery
Tersky se tait.|delivery
Après un silence et avec effort.|delivery
Tersky sort.|exit
Ils s'asseyent tous les deux.|action
En prenant tout-à-coup le ton de la plus grande confiance.|delivery
Après un silence.|delivery
Il remet à Harald l'engagement signé par les généraux.|object
Harald sort.|exit
Pendant ces vers de Wallstein, Illo sort.|exit
Elle s'appuie sur le bras d'Alfred, et s'arrête, ne pouvant parler.|interaction
En se remettant, et avec plus de calme.|delivery
Elle veut sortir.|exit
Illo paraît avec des soldats.|entrance
Tersky paraît avec Isolan, Buttler et d'autres officiers.|entrance
Thécla sort avec Tersky et tous les autres, excepté Buttler et Isolan.|exit
À Illo et à Tersky.|toward
Tout le monde sort, excepté Illo, Tersky, Thécla, Élise et Alfred.|exit
À Illo et à Tersky.|toward
À Illo.|toward
Illo sort.|exit
À Tersky.|toward
Tersky sort.|exit
En montrant Thécla.|action
À Tersky.|toward
On entend de nouveau plus fortement les trompettes.|narration
Alfred regarde avec désespoir les officiers qui sont au fond du theâtre.|action
Thécla écoute toujours plus attentivement.|action
À l'officier.|toward
Elle regarde son père.|action
Elle regarde autour d'elle.|action
Élise sort.|exit
Après un court silence.|delivery
En s'efforçant de paraître encore plus calme|delivery
L'officier sort.|exit
Thécla sort.|exit
Isolan paraît.|entrance
Il aperçoit Wallstein qui entre.|entrance
Buttler et Isolan sortent.|exit
Wallstein sort.|exit
Élise sort.|exit
À Géraldin.|toward
À Thécla.|toward
Elle se lève.|action
À Isolan.|toward
Isolan se tait.|delivery
À Gallas.|toward
À Cotys.|toward
À Cotys.|toward
Il lui donne deux lettres dont il lit l'inscription.|object
À Xénoclès.|toward
Il parle à l'oreille de Xénoclès qui s'en va.|delivery
DÉCORATION DU PROLOGUE. L'ouverture du théâtre présente de front aux yeux des spectateurs une montagne, dont les sommets inégaux, s'élevant les uns sur les autres, portent le faîte jusque dans les nues. Le pied de cette montagne est percé à jour par une grotte profonde qui laisse voir la mer en éloignement. Les deux côtés du théâtre sont occupés par une forêt d'arbres touffus et entrelacés les uns dans les autres. Sur un des sommets de la montagne paraît Melpomène, le muse de la tragédie, et à l'opposite dans le ciel, on voit le soleil s'avancer dans un char tout lumineux, tiré par les quatre chevaux qu'Ovide lui donne.|setting
DÉCORATION du PREMIER ACTE. Cette grande masse de montagnes et ces rochers élevés les uns sur les autres qui la composaient, ayant disparu e un moment par un merveilleux artifice, laissent voir en leur place la ville capitale du royaume de Céphée, ou plutôt la place publique de cette ville. Les deux côtés et le fond de théâtre sont des palais magnifiques, tous différents de structure, mais qui gardent admirablement l'égalité et les justesses de la perspective. Après que les dieux ont eu loisir de se satisfaire à considérer leur beauté, la rein Cassiope paraît comme passant par cette place pour aller au temple : elle est conduite par Persée, encore inconnu, mais qui passe pour un cavalier de grand mérite qu'elle entretient des malheurs publics, attendant que le roi la rejoigne pour aller à ce temple de compagnie.|setting
DÉCORATION DU SECOND ACTE. Cette place publique s'évanouit en un instant pour faire place à un jardin délicieux, et ces grands palais sont changés en autant de vases de marbre blanc, qui portent alternativement, les uns des statues d'où sortent autant de jets d'eau, les autres des myrtes, des jasmins et d'autres arbres de cette nature. De chaque côté se détache un rang d'orangers dans de pareils vases, qui viennent former un admirable berceau jusqu'au milieu du théâtre, et le séparent ainsi en trois allées, que l'artifice ingénieux de la perspective fait paraître longue de plus de mille pas. C'est là qu'on voit Andromède que ces nymphes qui cueillent des fleurs, et en composent une guirlande dont cette princesse veut couronner Phinée, pour le récompenser, par cette galanterie, de la bonne nouvelle qu'il lui vient d'apporter.|setting
Cet air chanté, le page de Phinée et cette nymphe font un dialogue en musique, dont chaque couplet à pour refrain l'oracle que Vénus a prononcé au premier acte en faveur de ces deux amants, chanté par les deux voies unies, et répété par le choeur entier de la musique.|music
DÉCORATION DU TROISIÈME. Il se fait ici une si étrange métamorphose qu'il semble qu'avant que de sortir de ce jardin Persée ait découvert cette monstrueuse tête de Méduse qu'il porte partout sous son bouclier. Les myrtes et les jasmins qui le composaient sont devenus des rochers affreux dont les masses inégalement escarpées et bossues suivent si parfaitement le caprice de la nature, qu'il semble qu'elle ait plus contribué que l'art à les placer ainsi des deux côtés du théâtre : c'est en quoi l'artifice de l'ouvrier est merveilleux, et se fait voir d'autant plus qu'il prend soin de se cacher. Les vagues s'emparent de toute la scène, à la réserve de cinq ou six pieds qu'ils laissent pour leur servir de rivage ; elles sont dans une agitation continuelle, et composent comme un golfe enfermé entre ces deux rangs de falaises ; on en voit l'embouchure se dégorger dans la pleine mer, qui paraît si vaste et d'une si grande étendue qu'on jurerait que les vaisseaux qui flottent près de l'horizon, dont le vue est bornée, sont éloignés de plus de six lieues de ceux qui les considèrent. Il n'y a personne qui ne juge que cet horrible spectacle et le funeste appareil de l'injustice des Dieux et du supplice d'Andromède ; aussi la voit-on au haut des nues, d'où les deux vents qui l'ont enlevée l'apportent avec impétuosité et l'attachement au pied d'un de ces rochers.|setting
Les vents obéissent aussitôt à ce commandement de Persée, et on les voit en un moment détacher cette princesse, et la reporter par-dessus les flots jusqu'aux lieux d'où ils avaient apportée au commencement de cet acte. En même temps Persée revole en haut sur son cheval ailé ; et, après avoir fait un caracol admirable au milieu de l'air, il tire du même côté qu'on a vu disparaître la Princesse : tandis qu'il vole, tout le rivage retentit de cris de joie et de chants de victoire.|narration
Il fond au milieu de la mer.|exit
Les Néréides se plongent aussi dans le mer.|exit
Décoration du quatrième acte. Les vagues fondent sous le théâtre, et ces hideuses masses de pierre dont elles battaient le pied font place à la magnificence d'un palais royal. On ne le voit pas tout entier, on n'en oit que le vestibule, ou plutôt la grande salle, qui doivent servir aux noces de Persée et d'Andromède. Deux rangs de colonnes de chaque côté, l'un de rondes, et l'autre de carrées, en font les ornements : elles sont enrichies de statues de marbre blanc d'une grandeur naturelle, et leurs bases, corniches, amortissements, étalent tout ce que peut la justesse de l'architecture. Le frontispice suit le même ordre, et par trois portes dont il est percé, il fait voir trois allées de cyprès où l'oeil s'enfonce à perte de vue.|setting
Junon se fait voir dans un char superbe, tiré par deux paons, et si bien enrichi, qu'il paraît digne de l'orgueil de la déesse qui s'y fait porter. Elle se promène au milieu de l'air, dont nos poètes lui attribuent l'empire, et y fait plusieurs tours, tantôt à droite et tantôt à gauche, cependant qu'elle assure Phinée de sa protection.|narration
Les portes se ferment comme ils veulent entrer.|setting
La page rentre.|entrance
Il met l'épée à la main.|aggression
Don Arias rentre.|exit
Don Alfonse rentre.|entrance
Don Alonse revient.|movement
Don Rodrigue rentre.|exit
Il parle à Don Arias.|toward
Il lui donne un soufflet.|aggression
Il est seul.|aparte
Il lui parle à l'oreille.|delivery
Polyclète rentre.|entrance
Elle est seule.|aparte
À Maxime.|toward
Comme Dorise est prête de tuer Caliste, un bruit entendu lui fait relever son épée, et Rosidor paraît tout en sang poursuivi par ses trois assassins masqués. En entrant, il tue Lycaste, et retirant son épée elle se rompt contre la branche d'un arbre. En cette extrémité il voit celle que tient Dorise, et sans la reconnaître il s'en saisit, et passe tout d'un temps le tronçon qui lui restait de la sienne en la main gauche, et se défend ainsi contre Pymante et Géronte, dont il tue le dernier et met l'autre en fuite.|narration
Il jette son masque et son épée dans la grotte.|object
Le page rentre.|exit
Une tempête survient.|narration
Le prince sort, et un des veneurs s'en va avec Dorise et les autres mènent Pymante d'un autre côté.|exit
À Clitandre.|toward
À Dona Léonor.|toward
À Don Manrique et à Don Lope.|toward
Aronte rentre.|entrance
À Héraclius.|toward
À Exupère.|toward
Léontine, lit le billet.|action
Elle rend le billet à Exupère, qui le lui a donné, et continue.|object
À Héraclius.|toward
À Héraclius.|toward
À Héraclius.|toward
À Octavian.|toward
À Pulchérie.|toward
À Léontine.|toward
À Pulchérie, lui donnant un billet.|toward
Pulchérie, lit.|action
Billet de Constantine.|music
À Martian.|toward
À Eudoxe.|toward
À Sabine.|toward
Au roi.|toward
À Valère.|toward
Au roi.|toward
À Horace.|toward
Il entre chez Isabelle après qu'elle et Lyse y sont entrées.|exit
Médée rentre, et Créon continue.|entrance
Nérine sort, et Médée continue.|exit
Elle donne un coup de baguette sur la porte de la prison, qui s'ouvre aussitôt, et en ayant tiré AEgée, elle en donne encore un sur ses fers qui tombent.|action
Il se défait d'eux et les chasse à coups d'épée.|aggression
Il se tue d'un poignard.|aggression
Il se tue.|aggression
Mélite paraît.|entrance
Il les surprend sur ce baiser.|interaction
SONNET.|music
SONNET.|music
Cliton rentre.|entrance
Cliton ressort brusquement.|exit
LETTRE SUPPOSÉE DE MÉLITE À PHILANDRE.|music
LETTRE SUPPOSÉE DE MÉLITE À PHILANDRE.|music
AUTRE LETTRE SUPPOSÉE DE MÉLITE À PHILANDRE.|music
Elle lui ferme la porte au nez.|object
La Nourrice paraît à l'autre bout du théâtre avec Éraste, l'épée à la main, et ayant parlé à lui quelque temps à l'oreille, elle le laisse à quartier et s'avance vers Tirsis.|entrance
Sonnet|music
Sonnet|music
Lettre supposée de Mélite à Philandre.|music
Lettre supposée de Mélite à Philandre.|music
Autre lettre supposée de Mélite à Philandre.|music
Il met la main sur son épée.|aggression
Ici, Clarice les voit de sa fenêtre ; et Lucrèce, avec Isabelle, les voit aussi de la sienne.|action
Elle lui donne un billet.|object
Sabine rentre, et Dorante continue.|exit
À Clarice.|toward
À Dorante.|toward
À Clarice.|toward
Alcippe rentre chez Clarice avec elle et Isabelle, et le reste rentre chez Lucrèce.|exit
César rentre avec les Romains.|exit
Elle entre.|entrance
Cléante sort d'un côté, et Dymas de l'autre, environ quatre vers après Cléante.|exit
Elle sort.|exit
LETTRE SUPPOSÉE d'ALIDOR À CLARINE.|music
Alidor lit la lettre entre les mains d'Angélique.|action
Elle frappe à sa porte, et Dorante sort.|entrance
Cléandre va pour entrer chez Angélique.|exit
Alidor s'en va et Angélique continue.|exit
Il lui donne la promesse de Cléandre.|object
BILLET DE CLÉANDRE À ANGÉLIQUE.|music
Angélique lit.|action
Elle rentre, et Cléandre la voulant suivre, Alidor l'arrête.|exit
Cléandre, Doraste, Philis, et Lycante rentrent.|entrance
STANCES EN FORME D'ÉPILOQUE.|music
Elle veut se retirer.|exit
Timagène rentre sur le théâtre.|entrance
Il tire son épée, et veut se tuer.|aggression
À Rodogune.|toward
À Antiochus.|toward
À Cléopâtre.|toward
À Lyse.|toward
Dorante va écrire sur la table.|action
À Dorante.|toward
Bas.|delivery
Bas.|delivery
À Mélisse.|toward
Elles abaissent toutes deux leurs coiffes.|object
À Philiste.|toward
À Cléandre.|toward
À Bérénice.|toward
À Domitie.|toward
Domitian entre.|entrance
DÉCORATION DU PROLOGUE. L'heureux mariage de Sa Majesté, et la paix qu'il lui a pu donner à ses peuples, ayant été les motifs de la réjouissance publique pour laquelle cette tragédie a été préparée, non seulement il était juste qu'ils servissent de sujet au prologue qui la précède, mais il était même absolument impossible d'en choisir une plus illustre matière. L'ouverture du théâtre fait voir un pays ruiné par les guerres, et terminé dans son enfoncement par une ville qui n'en est pas mieux traitée, ce qui marque le pitoyable état ou la France était réduite avant cette faveur du ciel, qu'elle a si longtemps souhaitée, et dont la bonté de son généreux monarque la fait jouir à présent.|setting
DÉCORATION DU THÉÂTRE. L'heureux mariage de Sa Majesté, et la paix qu'il lui a plu donner à ses peuples, ayant été les motifs de la réjouissance publique pour laquelle cette tragédie a été préparée, non seulement il était juste qu'ils servissent de sujet au prologue qui la précède, mais il était même absolument impossible d'en choisir une plus illustre matière. L'ouverture du théâtre fait voir un pays ruiné par les guerres, et terminé dans son enfoncement par une ville qui n'en est pas mieux traitée, ce qui marque le pitoyable état où la France était réduite avant cette faveur du ciel, qu'elle a si longtemps souhaitée, et dont la bonté de son généreux monarque la fait jouir à présent.|setting
Avant que de disparaître, ce dieu, en colère contre la France, lui fait voir la Paix, qu'elle demande avec tant d'ardeur, prisonnière dans son palais, entre les mains de la Discorde et de l'Envie, qu'il lui a donnée pour garder. Ce palais a pour colonnes des canons, qui ont pour bases des mortiers, et des boulets pour chapiteaux ; le tout accompagné, pour ornement, de trompettes, de tambours, et autres instruments de guerre entrelacés ensemble et découpés à jour, qui font comme un second rang de colonnes. Le lambris est composé de trophée d'armes, et de tout ce qui peut désigner et embellir la demeure de ce dieu des batailles.|narration
