description|labelDraCor
Entre Clémence.|entrance
Ils s'asseoient à table.|sit
Victorine sort.|exit
À part.|aparte
Il veut l'embrasser.|kiss
Elle sort.|exit
Bas.|low
Victorine parait à la porte, habillée en dame. Joseph et Clémence se regardent un instant avec stupeur.|entrance
À part.|aparte
Présentant Edgard.|show
Haut.|loud
Haut.|loud
À part.|aparte
À part.|aparte
Il l'aide à déposer le plateau.|drop
À part.|aparte
Elle l'embrasse.|kiss
Il sort par le fond.|exit
Appelant.|call
Ils entrent.|entrance
Elle s'asseoit à une table.|sit
Il sort par le fond.|exit
Elle embrasse Joseph.|kiss
Edgard entre.|entrance
Ils sortent.|exit
On frappe.|hit
Joseph entre en domestique, Victorine montre sa tète à la porte restée entrouverte.|entrance
Il donne la dépêche à Clémence.|give
Joseph et Victorine tombent à genoux.|kneel
Il sort.|exit
À Clémence.|toward
Ensemble.|together
Ensemble.|together
Ensemble.|together
À Lisette.|toward
Il sort.|exit
Haut.|loud
Haut.|loud
Haut.|loud
Haut.|loud
Haut.|loud
Haut.|loud
Haut.|loud
À Mondor.|toward
Bas.|low
Haut.|loud
Haut.|loud
À part.|aparte
Haut.|loud
En regardant le diamant.|watch
À part.|aparte
À part.|aparte
À part.|aparte
Elle sort.|exit
À part.|aparte
Haut.|loud
Haut.|loud
À part.|aparte
Haut.|loud
Haut.|loud
Bas.|low
Haut.|loud
Haut.|loud
Haut.|loud
Il se met à genoux.|kneel
Bas.|low
Haut.|loud
Voulant s'en aller.|away
Haut.|loud
À part.|aparte
Bas.|low
À Lisette.|toward
Haut.|loud
Haut.|loud
Il s'éloigne.|away
Elle veut sortir.|exit
Il s'assied.|sit
Tout le monde sort.|exit
Il sort.|exit
Long silence.|silence
Haut.|loud
Il sort avec Arbate.|exit
Il sort.|exit
Il lui présente un poignard.|show
Il sort.|exit
On entend du bruit.|noise
Haut.|loud
Il sort.|exit
Il la fait plier, et très bas.|kneel
Le maître sort, et Lise aussi.|exit
Il montre le coeur.|show
Bas, d'un ton de confidence.|low
Il sort.|exit
Avec poids.|serious
En se parlant à elle-même.|toward
Ils s'assoient.|sit
Avec transport.|enthousiasm
En pesant beaucoup sur ces derniers mots.|serious
Le Duc doit être placé entre le père et le fils ; et le vieux Saincenne inspecte son fils et l'interrompt : sans cesse.|location
À part.|aparte
On entend des fouets de poste.|noise
Il dit en riant les derniers mots.|laugh
Il les regarde met le nez.|watch
Il rit.|laugh
À part.|aparte
Il sort.|exit
Haut.|loud
Haut.|loud
Ils entrent tous.|exit
Il lit l'inscription du portrait.|read
Elle sort.|exit
Au Marquis.|toward
Il l'embrasse.|kiss
Il sort en riant.|exit
Haut.|loud
Haut.|loud
Il se met à marcher dans la chambre.|walk
Bas.|low
Haut.|loud
Il lui donne la lettre anonyme qu'il a reçue.|give
Il sort.|exit
Ils sortent en se faisant de grandes démonstrations.|exit
En montrant sa tête.|show
Il montre un porte-feuille plein de papiers.|show
Il lui donne le porte-feuille.|give
Il sort.|exit
À part.|aparte
Elle feint de pleurer.|cry
Haut.|loud
Haut.|loud
Haut.|loud
Haut.|loud
À part.|aparte
Haut.|loud
Il sort.|exit
Elle sort.|exit
Gravement.|serious
Plus fort encore.|loud
Au Duc.|toward
En regardant le Duc.|watch
Elle sort.|exit
Bas.|low
Haut.|loud
Ils sortent.|exit
Il sort.|exit
Site affreux, campagne inculte, rochers. déserts.|decor
Air.|title
CAVATINE.|title
DUO vif.|title
ENSEMBLE.|together
TRIO.|title
SEXTUOR chanté par les Argonautes et accompagné de la lyre d'Orphée.|title
SEXTUOR.|title
Air.|title
Intérieur du Palais ; un trône au milieu et la Toison d'or suspendue au-dessus du trône.|decor
Air.|title
Long silence.|silence
RÉCITATIF.|title
Au Peuple.|toward
Air tendre.|music
Air.|music
Récit obligé.|title
CAVATINE.|title
RÉCITATIF.|title
Air vif.|music
Grotte magique.|decor
CAVATINE.|title
RÉCITATIF.|title
Air.|music
RÉCITATIF.|title
Air.|music
Air brillant.|music
DUO.|title
On entend une symphonie douce, qui part des voûtes de la grotte.|music
La voûte se referme.|decor
Il sort.|exit
Le théâtre représente l'entrée de la forêt sacrée : on y voit les tombeaux et les statues des Rois de la Colchide.|decor
On entend le roulement de la timbale.|music
On entend le roulement de la timbale.|music
Air brillant.|music
Long silence.|silence
Le tonnerre gronde.|meteo
Le tonnerre continue.|meteo
Chant des Argonautes, entendu dabord dans le lointain de la forêt ; ils s'avancent en triomphe, et portent la Toison d'or.|title
À part.|aparte
Il sort.|exit
Haut.|loud
À Mylford.|toward
À Betti.|toward
À Betti.|toward
À Betti.|toward
À Belton.|toward
À part.|aparte
À Belton.|toward
À Betti.|toward
Il se jette à ses pieds.|kneel
Ils s'embrassent.|kiss
À Belton.|toward
À Betti.|toward
John sort.|exit
À Mowbrai.|toward
À Betti.|toward
Au notaire.|toward
En montrant Betti.|show
Haut.|loud
À Azémire.|toward
Au prince.|toward
À Azémire.|toward
Au prince.|toward
Roxelane se lève, le vizir paraît.|stand
Au prince.|toward
Au prince.|toward
Au sultan.|toward
Au prince.|toward
Montrant Roxelane.|show
Il sort.|exit
À Roxelane.|toward
Il lui remet un papier.|give
Haut.|loud
Haut.|loud
À Nessir.|toward
Aux gardes.|toward
À Soliman.|toward
Regardant sa mère.|watch
Elle fait un pas vers son fils.|closer
Les Gardes se retirent avec Artaban et Armetzar.|exit
Ces deux vers bas.|low
Il s'en va.|away
À soi-même.|toward
À Artaban.|toward
La princesse continue, après que la confidente a lu.|continue
En cet endroit le bruit d'un mousquet, d'un tambour et d'une trompette se fait entendre.|noise
Il parle à un des gardes qui se trouve là proche.|toward
Au lever du rideau, Gontran est couché tout habillé sur le lit. Dix heures sonnent.|decor
Il se frotte les yeux.|touch
(1) Au besoin un salon ou un cabinet de travail.|decor
(2) Au besoin : un canapé.|decor
Sautant du lit.|stand
S'apercevant qu'il est habillé.|dress
Pendant ce temps, il retire son hahit, son gilet, sa cravate, et se dispose à faire sa toilette.|dress
Il s'appuie sur le guéridon.|sit
Montrant son lit.|show
Chantonnant.|sing
Riant.|laugh
Se mettant de la poudre de riz sur le visage.|paint
Onze heures sonnent.|ring
Il tire le cordon de la sonnette.|ring
Il sonne.|ring
Il ramasse la boucle de cheveux qui est à terre.|get
Il rit.|laugh
S'adressant à la mèche qu'il tient dans la main.|toward
La demie sonne.|sing
Apercevant une tasse et une théière sur la cheminée.|watch
Il montre ses yeux pochés.|show
Montrant ses yeux.|show
Baptiste le prend dans un placard.|get
Il ouvre ses tiroirs, en tire des objets de toilette qu'il jette à Baptiste.|open
Lui donnant de l'argent.|give
Midi sonne.|ring
Il s'asied.|sit
Il s'assied.|sit
Se reprenant.|quiet
Il s'assied.|sit
Il s'assied.|sit
Il s'assied.|sit
Il se lève et cherche sur la scène.|stand
Avisant une bûche.|watch
Il prend une bûche.|get
Revenant poser la bûche sur la table.|drop
Continuant.|continue
Allant chercher sur la scène.|search
Se frappant la front.|hit
S'adressant au public.|toward
On lui passe un chapeau.|give
Se reprenant.|quiet
Il retourne à la table.|back
Montrant le chapeau.|show
Il couvre la bûche avec le chapeau.|drop
Allant chercher sur la scène.|search
Prenant le presse-papier qui est sur le bureau.|get
Il va à la table. Continuant.|location
Il pose le presse-papier au milieu de la table.|drop
Il approche le presse-papier du chapeau.|closer
Il prend une lettre dans sa poche et va la poser sur la bûche.|get
Il prend la bûche et fait dans l'air des gestes menaçants, il pose au milieu de la table.|get
Il couvre le presse-papier avec le chapeau.|drop
Il saisit la bûche et s'approche du chapeau.|get
Satisfait de lui.|happy
Il remonte derrière la table.|location
Il sort précipitamment.|exit
Laforêt entre.|exit
Haut.|loud
Molière disparaît.|exit
À part.|aparte
Haut.|loud
À part.|aparte
Haut.|loud
À part.|aparte
Il sort.|exit
À part.|aparte
Haut.|loud
Molière et Laforêt sortent.|exit
Molière parait.|entrance
Les acteurs se placent dans l'ordre du tableau de Monsieur Mon**au.|location
Se plaçant derrière Molière.|location
Saint-Alban parait.|entrance
Le Serpent et la Lime.|title
Il lit.|read
À Ninon.|toward
Nota. Dans la scène XIII, les deux Seigneurs qui ont paru dans les premières scènes, entrent avec le Prince de Condé.|entrance
Air : De la Boulangère.|title
Air : Du petit Matelot.|title
DEUXIÈME COUPLET.|title
Même Air.|title
Air : Nous nous marierons dimanche.|title
Le second Colporteur sort.|exit
Air : Du pas redoublé.|title
Il sort.|exit
Air : Soit agréable, soit utile.|title
Air : Décacheter sur ma porte.|music
Air : De Joconde.|music
Air : De la Soirée orageuse.|music
Il rentre.|exit
Air : De la Baronne.|music
À Delphine.|toward
Air : Le Port-Mahon.|music
Il va ouvrir.|open
Air : De la Croisée.|music
Elle rentre.|exit
Il rentre.|exit
Air : Jardinier, ne vois-tu pas.|music
Air : Vaud[e]v[ille] d'Abuzar.|music
Air : L'acte de générosité (de la petite Métromanie.)|music
À La Ronde :|toward
À part.|aparte
Les trois autres répètent vers par vers.|repeat
Arlequin et Delphine se retirent.|exit
Il sort.|exit
Air : Le coeur de mon Annette.|music
Air : Accompagné de plusieurs autres.|music
Air : Du Vaudeville des deux Veuves.|music
Air : De la pipe de tabac.|music
À part.|aparte
Air : La rigueur, le ton sévère.|music
Il sort.|exit
Il rentre.|exit
Il sort par le fond.|exit
Air : Si vous pouviez lui faire quelque pièce.|music
Les trois sortent.|exit
Air : Courons de la brune à la blonde.|music
Air : Cet arbre arrivé de Provence.|music
Air : Mon père.|music
Air : De l'Afficheur.|music
Il déchire.|tear
Air : De l'Isle des femmes.|music
Air : J'ai vu partout dans mes voyages.|music
Air : Fillette, Fillette.|music
Air : Savez-vous l'astrologie ?|music
Il sort.|exit
À part.|aparte
À part.|aparte
Air : Enivré du brillant poste.|music
Air : Nous sommes précepteurs d'amour.|music
Air : De la gamme.|music
Il pose le pot-à-l'eau.|drop
Ils se mettent à table.|sit
Il débouche une bouteille.|open
Il lit.|read
Ils sortent.|exit
À Taxe.|toward
À Barbe.|toward
Haut.|loud
Les deux femmes sortent.|exit
Il lui donne six francs.|give
À part.|aparte
Haut.|away
Taxe et Finot reculent.|away
Revenant.|back
Il sort.|exit
À Taxe.|toward
Il appelle.|call
Finot sort.|exit
Elle lit.|read
Air : De la Soirée orageuse.|title
À Double-Sens.|toward
À sa fille.|toward
À part.|aparte
À la Reine-Mère.|toward
Montrant sa blessure.|show
Le duc de Guise et tous les autres courtisans mettent un genou en terre, en croisant leurs épées. Ils restent dans cette position pendant le discours du cardinal de Lorraine.|kneel
Il sort.|exit
Le théâtre représente le salon de l'appartement de Monsieur et Madame Gercour.|decor
Haut.|loud
Elle sort.|exit
Bas.|low
À part.|aparte
Bas.|low
Haut.|loud
Marton sort.|exit
Lui prenant la main.|touch
Il appelle.|call
Marton paraît.|entrance
Elle sort.|exit
Haut.|loud
À part.|aparte
Haut.|loud
Il lui prend la main.|touch
À mi-voix.|low
À part.|aparte
Haut.|loud
La scène représente l'appartement de Florville, aussi dénué que celui de Béverley, avec de vieux tableaux.|decor
Marton rit.|laugh
Regardant autour de lui.|watch
À Sudmer.|toward
On entend du bruit en dehors.|noise
Elle sort.|exit
Il montre un autre tableau.|show
Haut.|loud
Haut.|loud
Tirant un billet.|get
À part.|aparte
Il sort.|exit
Il sort.|exit
L'apercevant.|watch
Le théâtre représente un cabinet d'étude.|decor
Il aperçoit Madame Gercour;|watch
Il se jette à genoux.|kneel
Haut.|loud
Haut.|loud
À part.|aparte
Il les lui remet.|give
Lui indiquant l'autre contrat.|show
Il entre.|entrance
Entrouvrant la porte du cabinet.|open
Haut.|loud
Haut.|loud
À Gercour.|toward
À part.|aparte
Haut.|loud
À part.|aparte
Haut.|loud
À Valsain.|toward
Le même Salon qu'au premier Acte.|decor
Il rit.|laugh
Haut.|loud
Le reconduisant.|push
Haut.|loud
Seul.|alone
Haut.|loud
Il appelle.|call
Tous deux le poursuivent dehors.|away
À Valsain.|toward
Il les tient prêt à les déchirer.|tear
Valsain sort.|exit
À part.|aparte
Montrant son coeur.|show
Valsain sort.|exit
Montrant Florville.|show
Se rapprochant de Julie.|closer
À Gercour.|toward
Les gens des loges arrivent.|entrance
Après qu'ils sont tous sortis.|exit
À Climène.|toward
À Climène.|toward
Seul.|alone
CHANSON|title
LETTRE DE TERSANDRE À CLIMÈNE.|title
Haut.|loud
Haut.|loud
À Calotin.|toward
À Béatrix.|toward
À Béatrix.|toward
Guillot entre.|entrance
Ils sortent et Guillot demeure seul.|exit
Il tire sa bourse.|get
Ils s'en vont.|away
Ils se retirent en un coin du Théâtre.|away
Ils entrent chez eux.|exit
Lui montrant le billet.|show
Il lit.|read
Il lit.|read
[Il interrompt la lecture. ]|interrupt
Il échange de côté.|location
Il lui donne sa bague.|give
Il sort.|exit
À part.|aparte
Il sort.|exit
Il appelle ses compagnons.|call
Les trois autres filous viennent en robe noire, un bonnet blanc en forme de pain de sucre, et une bougie à la main, criant tous à la fois en tournant autour de Guillot, Virago, Macaé, Abdénago, et après avoir fait trois tours autour de lui, ils sortent et le laissent là, lequel demeure fort surpris.|narration
Il lui tâte le pouls.|touch
LA ROCQUE, continue.|continue
Le Chevalier de l'Industrie s'enfuit.|escape
Guillot fait semblant de s'en aller.|exit
Fabrice sort.|exit
Il boit.|drink
Il boit.|drink
Il boit.|drink
Ils rentrent.|exit
Parlant à Fabrice et à Guillot.|toward
À Guillot.|toward
Chanson.|title
Les Galants ridicules s'enfuyant disent :|escape
Clarice, Lisette et Béatrix sortent.|exit
Il fouille en sa poche.|search
Cléonte et Croquet restent dans une allée du Théâtre et Albert met Isabelle dehors, et enferme Clarice.|narration
Elle sort.|exit
Il prend Albert.|exit
Clémence sortant de chez elle une chandelle à la main.|exit
Il sort.|exit
Il dit ceci à Sicandre :|toward
Ils sortent de la maison d'Atalante.|entrance
Il dit ceci bas.|low
Elle lit ceci sur une feuille de papier.|read
SUR LE MIROIR D'ATALANTE. SONNET.|title
Elle parle à Sicandre.|toward
Sicandre dit ceci bas.|low
Il dit ceci bas.|low
Ils se veulent battre.|fight
Il s'en va.|exit
Mainalte sort.|exit
Flaminie le quitte.|exit
Il dit ceci bas.|low
On tire la toile pour cacher la chambre.|decor
Elle dit ceci bas.|low
Elle lève la tapisserie, qui fait voir la chambre.|decor
Il dit ce vers bas.|low
LETTRE.|title
LETTRE.|title
LETTRE.|title
STANCES.|title
LA VOLIÈRE.|title
LE COURS.|title
Philène va à l'Écho.|closer
Second Couplet.|title
Troisième Couplet.|title
Philène dit ceci à demi haut à l'oreille d'Orphise ; et sont tous deux fort loin de Mégate, et de Mélinde.|low
Philène à l'arbre.|toward
Mégate à l'arbre.|toward
Il parle à Aglante, et à Cléonice.|toward
Il faut que Cléonice soit relevée de terre en disant ces vers.|stand
À Valentin.|toward
Valentin s'approche.|closer
À part.|aparte
À part.|aparte
Haut.|loud
Il est correctement vêtu, à la dernière mode, sans affectation.|costume
Au Comte.|toward
Le comte se met à rire.|laugh
À part.|aparte
Il prend le livre.|get
Il montre du regard la porte de droite qui mène aux appartements de la comtesse.|show
Il tend la main pour prendre la main de la comtesse.|touch
Regardant sa montre.|watch
Elle regarde autour d'elle avec une confusion éperdue.|watch
Valentin pousse un cri.|shout
On entend la voix du Comte appelant Valentin.|call
Répondant.|shout
Appelant.|call
Il sonne.|ring
Les Gardes sortent.|exit
Elle s'en va.|exit
Bacazar se jette aux genoux, de Leuxis.|kneel
Aux Gardes.|toward
À la Princesse.|toward
À Leuxis.|toward
Aux Gardes.|toward
À Astarbé.|toward
À Zopire et à Arsace.|toward
Au peuple.|toward
Poussant l'abbé.|push
Apercevant Mademoiselle Damour.|watch
Mademoiselle Damour sort.|exit
Regardent sa montre.|watch
Ils sortent.|exit
Il veut l'embrasser.|kiss
Mademoiselle Damour et Lafleur se retirent.|exit
Elle tire la sonnette.|ring
Lafleur se retire.|exit
À l'abbé.|toward
Elle sort.|exit
Lafleur se retire.|exit
Il sort.|exit
Lafleur sort.|exit
Il baise sa main.|kiss
À part.|aparte
Il sort.|exit
En riant.|laugh
Elle lui passe la main sous le menton.|touch
Elle passe sa main sur la gorge de la marquise.|touch
À part.|aparte
Haut.|loud
Elle sort.|exit
Il sort.|exit
Ils se retirent dans le boudoir.|exit
Il se retire.|exit
Milord s'en va.|exit
Lafleur se retire.|exit
Achevant de lire.|read
À part.|aparte
1.|title
2.|title
3.|title
4.|title
5.|title
6.|title
Le roi sort.|exit
Il sort.|exit
Elle sort.|exit
Alvarès est mené chez la Reine par deux dames d'honneur qui paraissent et entre les mains desquelles Alcimadure le remet.|pull
Alfonse et Alvares, tous deux derrière le théâtre où se passe l'action.|location
L'apercevant.|watch
S'adressant à Amatrox.|toward
D'un ton familier.|friendly
Il se met à genoux devant Ali.|kneel
En fureur.|furious
Air : Des folies d'Espagne.|title
Air : Dans le fleuve d'oubli, biribi, je veux boire.|title
Air : Des Fraises.|title
Air : Vous avez raison, la Plante.|title
Air : Margot, sur la brune.|title
Fin de l'Air : des Voyelles anciennes.|title
Air : Le Cabaret est mon réduit.|title
Même air.|title
Ils donnent des coups de bâton à la Crainte et la mettent en fuite.|hit
Air : Lampons, lampons ; Camarades, Lampons.|title
bis.|bis
bis.|bis
Air : Le Cabaret est mon réduit.|title
Se retournant vers les Spectateurs.|toward
Air : Margot, sur la brune.|title
Elle montre les spectateurs.|show
Air : C'est au pays de Cocagne.|title
Air : Catalinette.|title
Air : Le joli, belle Meunière, le joli Moulin.|title
Refrain.|title
Le Théâtre représente les Jardins et l'extérieur du Palais de l'Île Sonnante.|decor
Il paraît ici un habitant.|entrance
ARIETTE.|title
ARIETTE.|title
ARIETTE.|title
Sur l'air : Ah ! que la forêt de Cythère.|title
ARIETTE.|title
ARIETTE.|title
QUATUOR.|title
Le Théâtre représente le vestibule du sérail.|décor
Sur l'air : Laire-là, laire, lanlere.|title
À part.|aparte
Air : De l'Allemande Suisse.|title
Air : Des Pendus.|title
DUO DIALOGUÉ.|title
ARIETTE.|title
ARIETTE.|title
ARIETTE.|title
DUO DIALOGUÉ.|title
TRIO.|title
À Durbin.|toward
ARIETTE.|title
Le Théâtre représente une façade du Palais, et un Port de mer dans le fond.|decor
ARIETTE.|title
ARIETTE.|title
ARIETTE.|title
Sur l'Air : Quand on a bu, la tête tourne.|title
Méme air.|title
ARIETTE.|title
DUO DIALOGUÉ.|title
ARIETTE.|title
Presto les emmène prisonniers.|exit
ARIETTE.|title
QUATUOR.|title
TRIO.|title
Air : Princesse adorable.|title
ARIETTE.|title
Elle lit.|read
Elle se lève.|stand
À part.|aparte
Elle appelle.|call
Frappant du pied.|nervous
Montrant son front.|show
À part.|aparte
Haut.|loud
Haut.|loud
À part.|aparte
Haut.|loud
À part.|aparte
Elle se met à la table à écrire.|write
Il voit Sophie.|watch
À part.|aparte
Riant.|laugh
À part.|aparte
Haut.|loud
Haut.|loud
Elle lit.|read
Le Laquais sort.|exit
Haut.|loud
Lisette entre.|entrance
Elle sort.|exit
Haut.|loud
Elle sort.|exit
À Sophie.|toward
Derville entre.|entrance
On entend derrière le théâtre des décharges d'artillerie.|noise
Thècla parait avec sa suite au fond du théâtre.|closer
Gallas et Géraldin sortent.|exit
À Élise.|toward
La suite de Thécla sort.|exit
Après un silence.|silence
Illo sort.|exit
À Alfred.|toward
À Alfred et à Thécla.|toward
Les généraux se rangent autour de Wallstein, un peu en arrière. Géraldin s'avance vers Wallstein, sur le devant du théâtre.|location
À Géraldin.|toward
Aux généraux.|toward
À Géraldin.|toward
Il se fait un grand mouvement parmi les généraux, pendant que Wallstein parle. Ils regardent Géraldin d'un air menaçant.|location
À Géraldin.|toward
Aux généraux.|toward
À Wallstein.|toward
À Géraldin.|toward
À Illo.|toward
Wallstein et Illo se retirent par des côtés différents.|away
Il sort.|exit
A Tersky, d'un ton sévère.|toward
Wallstein sort.|exit
Tersky sort.|exit
Gallas sort.|exit
Isolan s'approchede Géraldin et recule en apercevant Buttler. Buttler, en voyant Isolan, veut s'éloigner.|away
À Isolan.|toward
À tous deux.|toward
À Isolan.|toward
À Buttler et à Isolan.|toward
À Géraldin.|toward
À Buttler.|toward
À Géraldin.|toward
Buttler, Isolan et Géraldin sortent.|exit
À Tersky.|toward
Illo et Tersky sortent.|exit
Wallstein sort.|exit
Il lui présente un papier.|show
Thécla paraît au fond du théâtre avec Élise.|entrance
Alfred sort.|exit
Après un silence.|silence
Tersky se tait.|silence
Après un silence et avec effort.|silence
Tersky sort.|exit
Ils s'asseyent tous les deux.|sit
En prenant tout-à-coup le ton de la plus grande confiance.|serious
Après un silence.|silence
Il remet à Harald l'engagement signé par les généraux.|give
Harald sort.|exit
Pendant ces vers de Wallstein, Illo sort.|exit
Elle s'appuie sur le bras d'Alfred, et s'arrête, ne pouvant parler.|push
En se remettant, et avec plus de calme.|quiet
Elle veut sortir.|exit
Illo paraît avec des soldats.|entrance
Tersky paraît avec Isolan, Buttler et d'autres officiers.|entrance
Thécla sort avec Tersky et tous les autres, excepté Buttler et Isolan.|exit
À Illo et à Tersky.|toward
Tout le monde sort, excepté Illo, Tersky, Thécla, Élise et Alfred.|exit
À Illo et à Tersky.|toward
À Illo.|toward
Illo sort.|exit
À Tersky.|toward
Tersky sort.|exit
En montrant Thécla.|show
À Tersky.|toward
On entend de nouveau plus fortement les trompettes.|noise
Alfred regarde avec désespoir les officiers qui sont au fond du theâtre.|watch
Thécla écoute toujours plus attentivement.|listen
À l'officier.|toward
Elle regarde son père.|watch
Elle regarde autour d'elle.|watch
Élise sort.|exit
Après un court silence.|silence
En s'efforçant de paraître encore plus calme|quiet
L'officier sort.|exit
Thécla sort.|exit
Isolan paraît.|entrance
Il aperçoit Wallstein qui entre.|entrance
Buttler et Isolan sortent.|exit
Wallstein sort.|exit
Élise sort.|exit
À Géraldin.|toward
À Thécla.|toward
Elle se lève.|stand
À Isolan.|toward
Isolan se tait.|silence
À Gallas.|toward
À Cotys.|toward
À Cotys.|toward
Il lui donne deux lettres dont il lit l'inscription.|give
À Xénoclès.|toward
Il parle à l'oreille de Xénoclès qui s'en va.|low
DÉCORATION DU PROLOGUE. L'ouverture du théâtre présente de front aux yeux des spectateurs une montagne, dont les sommets inégaux, s'élevant les uns sur les autres, portent le faîte jusque dans les nues. Le pied de cette montagne est percé à jour par une grotte profonde qui laisse voir la mer en éloignement. Les deux côtés du théâtre sont occupés par une forêt d'arbres touffus et entrelacés les uns dans les autres. Sur un des sommets de la montagne paraît Melpomène, le muse de la tragédie, et à l'opposite dans le ciel, on voit le soleil s'avancer dans un char tout lumineux, tiré par les quatre chevaux qu'Ovide lui donne.|decor
DÉCORATION du PREMIER ACTE. Cette grande masse de montagnes et ces rochers élevés les uns sur les autres qui la composaient, ayant disparu e un moment par un merveilleux artifice, laissent voir en leur place la ville capitale du royaume de Céphée, ou plutôt la place publique de cette ville. Les deux côtés et le fond de théâtre sont des palais magnifiques, tous différents de structure, mais qui gardent admirablement l'égalité et les justesses de la perspective. Après que les dieux ont eu loisir de se satisfaire à considérer leur beauté, la rein Cassiope paraît comme passant par cette place pour aller au temple : elle est conduite par Persée, encore inconnu, mais qui passe pour un cavalier de grand mérite qu'elle entretient des malheurs publics, attendant que le roi la rejoigne pour aller à ce temple de compagnie.|decor
DÉCORATION DU SECOND ACTE. Cette place publique s'évanouit en un instant pour faire place à un jardin délicieux, et ces grands palais sont changés en autant de vases de marbre blanc, qui portent alternativement, les uns des statues d'où sortent autant de jets d'eau, les autres des myrtes, des jasmins et d'autres arbres de cette nature. De chaque côté se détache un rang d'orangers dans de pareils vases, qui viennent former un admirable berceau jusqu'au milieu du théâtre, et le séparent ainsi en trois allées, que l'artifice ingénieux de la perspective fait paraître longue de plus de mille pas. C'est là qu'on voit Andromède que ces nymphes qui cueillent des fleurs, et en composent une guirlande dont cette princesse veut couronner Phinée, pour le récompenser, par cette galanterie, de la bonne nouvelle qu'il lui vient d'apporter.|decor
Cet air chanté, le page de Phinée et cette nymphe font un dialogue en musique, dont chaque couplet à pour refrain l'oracle que Vénus a prononcé au premier acte en faveur de ces deux amants, chanté par les deux voies unies, et répété par le choeur entier de la musique.|music
DÉCORATION DU TROISIÈME. Il se fait ici une si étrange métamorphose qu'il semble qu'avant que de sortir de ce jardin Persée ait découvert cette monstrueuse tête de Méduse qu'il porte partout sous son bouclier. Les myrtes et les jasmins qui le composaient sont devenus des rochers affreux dont les masses inégalement escarpées et bossues suivent si parfaitement le caprice de la nature, qu'il semble qu'elle ait plus contribué que l'art à les placer ainsi des deux côtés du théâtre : c'est en quoi l'artifice de l'ouvrier est merveilleux, et se fait voir d'autant plus qu'il prend soin de se cacher. Les vagues s'emparent de toute la scène, à la réserve de cinq ou six pieds qu'ils laissent pour leur servir de rivage ; elles sont dans une agitation continuelle, et composent comme un golfe enfermé entre ces deux rangs de falaises ; on en voit l'embouchure se dégorger dans la pleine mer, qui paraît si vaste et d'une si grande étendue qu'on jurerait que les vaisseaux qui flottent près de l'horizon, dont le vue est bornée, sont éloignés de plus de six lieues de ceux qui les considèrent. Il n'y a personne qui ne juge que cet horrible spectacle et le funeste appareil de l'injustice des Dieux et du supplice d'Andromède ; aussi la voit-on au haut des nues, d'où les deux vents qui l'ont enlevée l'apportent avec impétuosité et l'attachement au pied d'un de ces rochers.|decor
Les vents obéissent aussitôt à ce commandement de Persée, et on les voit en un moment détacher cette princesse, et la reporter par-dessus les flots jusqu'aux lieux d'où ils avaient apportée au commencement de cet acte. En même temps Persée revole en haut sur son cheval ailé ; et, après avoir fait un caracol admirable au milieu de l'air, il tire du même côté qu'on a vu disparaître la Princesse : tandis qu'il vole, tout le rivage retentit de cris de joie et de chants de victoire.|narration
Il fond au milieu de la mer.|exit
Les Néréides se plongent aussi dans le mer.|exit
Décoration du quatrième acte. Les vagues fondent sous le théâtre, et ces hideuses masses de pierre dont elles battaient le pied font place à la magnificence d'un palais royal. On ne le voit pas tout entier, on n'en oit que le vestibule, ou plutôt la grande salle, qui doivent servir aux noces de Persée et d'Andromède. Deux rangs de colonnes de chaque côté, l'un de rondes, et l'autre de carrées, en font les ornements : elles sont enrichies de statues de marbre blanc d'une grandeur naturelle, et leurs bases, corniches, amortissements, étalent tout ce que peut la justesse de l'architecture. Le frontispice suit le même ordre, et par trois portes dont il est percé, il fait voir trois allées de cyprès où l'oeil s'enfonce à perte de vue.|decor
Junon se fait voir dans un char superbe, tiré par deux paons, et si bien enrichi, qu'il paraît digne de l'orgueil de la déesse qui s'y fait porter. Elle se promène au milieu de l'air, dont nos poètes lui attribuent l'empire, et y fait plusieurs tours, tantôt à droite et tantôt à gauche, cependant qu'elle assure Phinée de sa protection.|narration
Les portes se ferment comme ils veulent entrer.|decor
La page rentre.|entrance
Il met l'épée à la main.|fight
Don Arias rentre.|exit
Don Alfonse rentre.|entrance
Don Alonse revient.|back
Don Rodrigue rentre.|exit
Il parle à Don Arias.|toward
Il lui donne un soufflet.|fight
Il est seul.|alone
Il lui parle à l'oreille.|low
Polyclète rentre.|entrance
Elle est seule.|alone
À Maxime.|toward
Comme Dorise est prête de tuer Caliste, un bruit entendu lui fait relever son épée, et Rosidor paraît tout en sang poursuivi par ses trois assassins masqués. En entrant, il tue Lycaste, et retirant son épée elle se rompt contre la branche d'un arbre. En cette extrémité il voit celle que tient Dorise, et sans la reconnaître il s'en saisit, et passe tout d'un temps le tronçon qui lui restait de la sienne en la main gauche, et se défend ainsi contre Pymante et Géronte, dont il tue le dernier et met l'autre en fuite.|narration
Il jette son masque et son épée dans la grotte.|throw
Le page rentre.|exit
Une tempête survient.|meteo
Le prince sort, et un des veneurs s'en va avec Dorise et les autres mènent Pymante d'un autre côté.|exit
À Clitandre.|toward
À Dona Léonor.|toward
À Don Manrique et à Don Lope.|toward
Aronte rentre.|entrance
À Héraclius.|toward
